asset,date,open,high,low,close,volume
AAPL,2010-01-01,112.79,113.29,108.66,110.29,3838283
AAPL,2010-01-02,110.29,113.65,110.22,112.32,1392986
AAPL,2010-01-03,112.32,112.38,109.73,110.16,3725812
AAPL,2010-01-04,110.16,112.51,109.55,111.51,4646109
AAPL,2010-01-05,111.51,113.04,109.37,112.69,2411779
AAPL,2010-01-06,112.69,113.50,109.49,110.24,2109480
AAPL,2010-01-07,110.24,115.80,108.10,114.58,2587688
AAPL,2010-01-08,114.58,116.02,110.28,112.27,2516807
AAPL,2010-01-09,112.27,113.41,111.76,113.31,2213781
AAPL,2010-01-10,113.31,116.69,111.42,115.64,1682220
AAPL,2010-01-11,115.64,116.26,112.87,115.03,3718057
AAPL,2010-01-12,115.03,116.30,114.40,115.24,4881371
AAPL,2010-01-13,115.24,118.12,113.30,116.52,4254779
AAPL,2010-01-14,116.52,118.75,114.39,118.59,3378925
AAPL,2010-01-15,118.59,122.45,117.66,120.86,4835890
AAPL,2010-01-16,120.86,121.93,119.06,121.59,3260634
AAPL,2010-01-17,121.59,123.77,118.29,119.25,1919897
AAPL,2010-01-18,119.25,121.30,118.81,119.17,1671013
AAPL,2010-01-19,119.17,121.43,118.26,121.28,2963143
AAPL,2010-01-20,121.28,127.66,121.25,125.50,4022926
AAPL,2010-01-21,125.50,131.09,124.76,130.21,1663361
AAPL,2010-01-22,130.21,132.49,125.11,125.77,3099610
AAPL,2010-01-23,125.77,128.38,124.20,128.10,4530217
AAPL,2010-01-24,128.10,130.10,126.15,129.70,3262319
AAPL,2010-01-25,129.70,135.70,129.41,134.39,2522451
AAPL,2010-01-26,134.39,136.75,130.96,133.48,1359256
AAPL,2010-01-27,133.48,142.02,132.06,139.30,1527477
AAPL,2010-01-28,139.30,140.83,135.23,135.95,4659249
AAPL,2010-01-29,135.95,140.19,134.13,139.08,2566239
AAPL,2010-01-30,139.08,139.42,137.89,138.51,2418033
AAPL,2010-01-31,138.51,140.94,138.35,138.97,1282697
AAPL,2010-02-01,138.97,140.83,135.75,136.33,1554956
AAPL,2010-02-02,136.33,138.14,135.22,136.84,1395631
AAPL,2010-02-03,136.84,138.00,132.31,133.56,4057965
AAPL,2010-02-04,133.56,136.27,131.42,134.31,1458307
AAPL,2010-02-05,134.31,135.52,131.80,132.92,2168303
AAPL,2010-02-06,132.92,133.12,129.48,131.60,4590185
AAPL,2010-02-07,131.60,134.52,129.40,131.88,1391172
AAPL,2010-02-08,131.88,132.45,127.95,128.99,1245934
AAPL,2010-02-09,128.99,131.01,121.73,122.42,3921716
AAPL,2010-02-10,122.42,123.67,121.70,123.29,1245296
AAPL,2010-02-11,123.29,125.92,123.15,124.06,3450218
AAPL,2010-02-12,124.06,125.38,122.73,122.87,3129987
AAPL,2010-02-13,122.87,124.34,119.11,120.74,1986516
AAPL,2010-02-14,120.74,122.11,112.63,113.95,1166688
AAPL,2010-02-15,113.95,116.12,112.76,114.78,4920442
AAPL,2010-02-16,114.78,115.51,111.37,111.97,1548943
AAPL,2010-02-17,111.97,113.66,110.28,112.94,1304267
AAPL,2010-02-18,112.94,114.47,111.80,113.25,1555563
AAPL,2010-02-19,113.25,115.98,111.36,115.62,3950860
AAPL,2010-02-20,115.62,119.82,114.34,118.24,4908068
AAPL,2010-02-21,118.24,118.88,113.32,114.71,4009883
AAPL,2010-02-22,114.71,116.66,111.62,112.76,2053278
AAPL,2010-02-23,112.76,113.39,110.05,110.06,4234308
AAPL,2010-02-24,110.06,111.61,106.59,107.80,1469233
AAPL,2010-02-25,107.80,112.98,106.55,111.12,1621150
AAPL,2010-02-26,111.12,111.93,108.81,110.88,4610048
AAPL,2010-02-27,110.88,112.39,106.74,108.19,2483435
AAPL,2010-02-28,108.19,108.52,105.31,107.30,4626419
AAPL,2010-03-01,107.30,107.69,103.36,105.31,4281566
AAPL,2010-03-02,105.31,105.54,99.61,101.38,4601201
